cell_line_display_name,DepMapID
A2058,ACH-000788
A2780,ACH-000657
A375,ACH-000219
A427,ACH-000757
COLO-320-HSR,ACH-002219
EFM-192A,ACH-000117
ES-2,ACH-000906
HCT-116,ACH-000971
HT-144,ACH-000322
HT-29,ACH-000552
LNCaP-Clone-FGC,ACH-000977
LOVO,ACH-000950
MDA-MB-436,ACH-000573
MSTO-211H,ACH-000335
NCI-H1650,ACH-000035
NCI-H2122,ACH-000311
NCI-H23,ACH-000900
NCI-H520,ACH-000395
OCUB-M,ACH-002179
OV-90,ACH-000291
OVCAR-3,ACH-000001
PA-1,ACH-001374
RKO,ACH-000943
RPMI-7951,ACH-000348
SK-MEL-30,ACH-000810
SK-MES-1,ACH-000665
SK-OV-3,ACH-000811
SW620,ACH-000651
SW837,ACH-000421
T47D,ACH-000147
UACC-62,ACH-000425
VCAP,ACH-000115